Brand,Product Name,Price,Stars,Reviews,Category,Weighted_Rating
Benefit Cosmetics,The POREfessional: Super Setter Long-Lasting Makeup Setting Spray Mini,16.0,4.5,3234,Setting Spray and Powder,4.496940159563265
Benefit Cosmetics,The POREfessional Matte Blurring Loose Setting Powder,38.0,4.8,666,Setting Spray and Powder,4.765766951942067
Tarte,Shape Tape Stay Spray Setting Spray,32.0,4.6,1309,Setting Spray and Powder,4.589062346121323
L'Oréal,True Match Super-Blendable Powder,12.99,4.0,1085,Setting Spray and Powder,4.012319155945839
Benefit Cosmetics,The POREfessional Matte Blurring Loose Setting Powder Mini,22.0,4.8,666,Setting Spray and Powder,4.765766951942067
about-face,Curtain Call - Set & Smooth Loose Powder,21.0,4.2,25,Setting Spray and Powder,4.259693201186794
Milani,Make It Last Sunscreen - Sunscreen Setting Spray SPF 30,14.99,3.1,313,Setting Spray and Powder,3.258331312151346
Laura Mercier,Real Flawless Luminous Perfecting Talc-Free Pressed Finishing Powder,49.0,4.6,943,Setting Spray and Powder,4.585022808967341
Polite Society,More Than A Pretty Powder Skin-caring Loose Setting Powder,34.0,4.5,110,Setting Spray and Powder,4.436440529662253
Too Faced,Born This Way Ethereal Setting Powder,42.0,3.6,36,Setting Spray and Powder,3.9947333772218565
FENTY BEAUTY by Rihanna,You Mist Makeup-Extending Setting Spray,32.0,4.7,1270,Setting Spray and Powder,4.68509681615071
ULTA Beauty Collection,Lightweight Matte Finishing Powder,14.0,4.3,178,Setting Spray and Powder,4.298042494188654
BOBBI BROWN,Vitamin Enriched Pressed Powder,53.0,4.5,103,Setting Spray and Powder,4.433494064149907
e.l.f. Cosmetics,Perfect Finish HD Powder,6.0,4.1,414,Setting Spray and Powder,4.119821653001376
NYX Professional Makeup,Can't Stop Won't Stop All Day Mattifying Powder,9.5,4.2,506,Setting Spray and Powder,4.207865710625697
Milani,Conceal + Perfect Blur Out Powder,12.99,4.4,367,Setting Spray and Powder,4.387367719726834
NYX Professional Makeup,Dewy Finish Long Lasting Makeup Setting Spray Vegan Formula,4.0,4.3,1801,Setting Spray and Powder,4.299760737526574
bareMinerals,Mini Mineral Veil Setting Powder,21.0,4.6,9,Setting Spray and Powder,4.339607082221683
KYLIE COSMETICS,Setting Powder,26.0,4.1,469,Setting Spray and Powder,4.117712966511868
Smashbox,Always On Blurring Loose Setting Powder,38.0,4.6,374,Setting Spray and Powder,4.564828444755061
BOBBI BROWN,Sheer Finish All Day Oil Control Pressed Powder,53.0,4.5,170,Setting Spray and Powder,4.453933961865302
ULTA Beauty Collection,Dewy Glaze Setting Spray,12.0,4.4,103,Setting Spray and Powder,4.365282143620106
Tarte,Smooth Operator Amazonian Clay Tinted Pressed Setting Powder,36.0,4.5,694,Setting Spray and Powder,4.486465773162582
PÜR,Lit Mist Illuminating Setting Spray,26.0,4.0,142,Setting Spray and Powder,4.073461072034926
NYX Professional Makeup,HD Finishing Powder Pressed Setting Powder,12.0,4.2,1614,Setting Spray and Powder,4.202621903541899
Mario Badescu,"Facial Spray with Aloe, Cucumber and Green Tea",8.0,4.6,2379,Setting Spray and Powder,4.593884467938458
ULTA Beauty Collection,Dewy Glaze Setting Spray Travel Size,6.0,4.6,31,Setting Spray and Powder,4.41212156565362
NYX Professional Makeup,Mineral Matte Loose Finishing Powder,12.0,3.9,881,Setting Spray and Powder,3.9201911772730207
ColourPop,Pretty Fresh Lock It In Setting Spray,12.0,4.9,24,Setting Spray and Powder,4.493855606758832
Too Faced,Makeup Insurance Longwear Setting Spray + Blue Light Defense,36.0,4.5,814,Setting Spray and Powder,4.488349888267559
NARS,Light Reflecting Pressed Setting Powder,42.0,4.4,169,Setting Spray and Powder,4.375841491643484
NARS,Light Reflecting Setting Powder Loose,42.0,4.2,134,Setting Spray and Powder,4.223942877399099
Anastasia Beverly Hills,Dewy Set Hydrating Setting Spray,26.0,4.4,303,Setting Spray and Powder,4.385064397967623
Live Tinted,Hueskin Brightening Core Setting Powder,32.0,4.3,12,Setting Spray and Powder,4.2926267281106
IT Cosmetics,Your Skin But Better Setting Spray + Hydrating Mist,32.0,4.5,763,Setting Spray and Powder,4.4876172671845085
ILIA,Soft Focus Setting Powder,38.0,4.6,374,Setting Spray and Powder,4.564828444755061
Revolution Beauty,IRL Soft Focus 2 in 1 Powder Translucent,10.0,4.0,47,Setting Spray and Powder,4.146922144069852
Lancôme,Fix It Forget It Hydrating Makeup Setting Spray,38.0,4.1,241,Setting Spray and Powder,4.1316872099883595
ULTA Beauty Collection,Matte Veil Setting Spray Travel Size,6.0,4.4,57,Setting Spray and Powder,4.3500724160632
ULTA Beauty Collection,Matte Veil Setting Spray,12.0,4.3,158,Setting Spray and Powder,4.297852445080757
ULTA Beauty Collection,Color Correcting Setting Powder with Hyaluronic Acid,14.0,4.0,29,Setting Spray and Powder,4.181267580345922
ULTA Beauty Collection,Sun Shield Setting Spray,12.0,3.1,194,Setting Spray and Powder,3.336188444986099
ColourPop,No Filter Loose Setting Powder,12.0,4.5,156,Setting Spray and Powder,4.450772567091352
Mario Badescu,Repairing Facial Spray With Hypochlorous Acid,18.0,4.9,241,Setting Spray and Powder,4.798815237670021
NYX Professional Makeup,HD Studio Finishing Powder Translucent Setting Powder,12.0,3.2,1742,Setting Spray and Powder,3.229250057925495
NYX Professional Makeup,Bare With Me Aloe & Cucumber Extract Primer & Setting Spray,10.0,4.4,599,Setting Spray and Powder,4.391897378186455
e.l.f. Cosmetics,Matte Magic Mist & Set,6.0,3.9,427,Setting Spray and Powder,3.9394896919718647
Revolution Beauty,Conceal & Define Infinite Mattifying Longwear Makeup Fixing Spray,10.0,4.3,113,Setting Spray and Powder,4.297252196811403
Essence,Brighten Up! Banana Powder,4.99,4.5,70,Setting Spray and Powder,4.414894946496915
Mario Badescu,"Facial Spray with Aloe, Chamomile and Lavender",8.0,4.2,528,Setting Spray and Powder,4.207565284178187
Maybelline,Lasting Fix Banana Translucent Setting Powder,12.99,4.5,984,Setting Spray and Powder,4.490268995820383
Juvia's Place,"Ready, Set, Sealed! Setting Spray",18.0,3.6,31,Setting Spray and Powder,4.01971650236248
Dermablend,Illuminating Banana Powder,32.0,4.4,176,Setting Spray and Powder,4.376596445029625
NYX Professional Makeup,Plump Right Back Plumping Setting Spray,10.0,4.1,344,Setting Spray and Powder,4.123361233894479
Clinique,Stay-Matte Invisible Blotting Powder,39.0,4.3,155,Setting Spray and Powder,4.297820707815941
Estée Lauder,Set + Refresh Perfecting Makeup Mist,40.0,4.7,144,Setting Spray and Powder,4.597695852534563
COOLA,Makeup Setting Spray Organic Sunscreen SPF 30,36.0,3.8,1560,Setting Spray and Powder,3.814650251048903
ULTA Beauty Collection,Inner Glow Setting Spray,12.0,3.7,15,Setting Spray and Powder,4.150120693438666
CoverGirl,Clean Fresh Pressed Powder,11.99,4.4,807,Setting Spray and Powder,4.393868542323551
Tarte,Smooth Operator Amazonian Clay Pressed Finishing Powder,36.0,4.1,256,Setting Spray and Powder,4.130123696337618
Essence,All About Matt! Fixing Compact Powder,3.99,4.2,506,Setting Spray and Powder,4.207865710625697
KYLIE COSMETICS,Mattifying Setting Spray,28.0,4.4,767,Setting Spray and Powder,4.393567611885444
ULTA Beauty Collection,Velvet Veil Minerals Setting Powder,14.0,4.1,416,Setting Spray and Powder,4.119736214841888
Essence,Fix & Last Keep It Perfect Make-Up Fixing Spray,4.99,5.0,2,Setting Spray and Powder,4.3191520737327185
Tarte,Shape Tape Glow Powder,36.0,3.9,36,Setting Spray and Powder,4.123304805793285
Naked Sundays,Hydrating Glow Mist Top Up Spray SPF50+,19.55,4.9,1007,Setting Spray and Powder,4.872282088802498
bareMinerals,ORIGINAL Mineral Veil 24HR Natural Matte Setting Spray,36.0,4.7,260,Setting Spray and Powder,4.636225985995572
Essence,Fix & Last Instant Matte Make-Up Fixing Spray,4.99,3.8,4,Setting Spray and Powder,4.253030840127614
KVD Beauty,Lock-It Finishing Powder,35.0,4.1,38,Setting Spray and Powder,4.206483763798092
CoverGirl,Clean Invisible Loose Powder,9.49,3.4,1415,Setting Spray and Powder,3.429225976545889
Mario Badescu,"Facial Spray with Aloe, Sage and Orange Blossom",8.0,4.6,265,Setting Spray and Powder,4.55258020347168
Tarte,Travel Size Shape Tape Stay Spray Setting Spray,16.0,3.7,48,Setting Spray and Powder,3.9953917050691246
KVD Beauty,Lock-It Setting Powder,35.0,4.2,67,Setting Spray and Powder,4.237892205970748
Laura Mercier,Translucent Loose Setting Powder - Light Catcher,47.0,4.1,1104,Setting Spray and Powder,4.10794930875576
r.e.m. beauty,Mist Thing Hydrating Setting Spray,26.0,3.9,17,Setting Spray and Powder,4.188578518255937
Juice Beauty,PHYTO-PIGMENTS Flawless Finishing Powder,30.0,4.3,131,Setting Spray and Powder,4.297528512215843
L.A. Girl,Illuminating-Glow Makeup Setting Spray,8.0,3.9,87,Setting Spray and Powder,4.0389452124936
L.A. Girl,Translucent Matte Pro Setting Powder,6.0,2.8,237,Setting Spray and Powder,3.0510793111811783
Juvia's Place,I Am Magic Loose Setting Powder,14.0,4.4,828,Setting Spray and Powder,4.394015529322644
Smashbox,Photo Finish Endurance Breathable Setting Spray,34.0,4.4,639,Setting Spray and Powder,4.392369146559878
L.A. Girl,PRO Setting Brightening Loose Setting Powder,9.0,3.8,11,Setting Spray and Powder,4.199281418417558
PÜR,Skin Perfecting Powder Mineral Glow,26.0,4.5,153,Setting Spray and Powder,4.450037829286746
L.A. Girl,Lock-In Hydrating Makeup Setting Spray,8.0,4.5,51,Setting Spray and Powder,4.398561653400363
Dermablend,Lock and Last Water-Resistant Setting Spray,28.0,4.1,22,Setting Spray and Powder,4.230822909809085
Pixi,Pixi + Hello Kitty Makeup Fixing Mist,15.0,4.0,13,Setting Spray and Powder,4.228813175190753
L.A. Girl,PRO Perfect Oil Control Multi-Tasking Setting Spray,9.0,5.0,20,Setting Spray and Powder,4.49937652480347
DERMA E,Sun Protection Mineral Powder SPF 30,29.0,3.0,2,Setting Spray and Powder,4.239152073732718
PAT McGRATH LABS,Skin Fetish: Sublime Perfection Setting Powder,42.0,3.2,6,Setting Spray and Powder,4.169585253456221
Pixi,Makeup Fixing Mist with Rose Water and Green Tea,15.0,4.5,175,Setting Spray and Powder,4.454966832675497
Smashbox,Mini Photo Finish Endurance Breathable Setting Spray,19.0,4.4,639,Setting Spray and Powder,4.392369146559878
BLK/OPL,Oil Absorbing Pressed Powder,14.0,4.1,26,Setting Spray and Powder,4.223751401170756
Youthforia,PREGAME SETTING SPRAY Moisturizing Skin Serum,36.0,4.3,169,Setting Spray and Powder,4.297961307311686
Pacifica,Vegan Collagen Hydrating Setting Mist,10.0,4.4,99,Setting Spray and Powder,4.3643374400451425
Pacifica,Glow Baby Brightening Setting Spray - SPF 45,18.0,3.4,42,Setting Spray and Powder,3.8750844854070654
Pixi,Pixi + Hello Kitty Hello Glow-y Powder,18.0,3.3,9,Setting Spray and Powder,4.134343924326946
